year,spp,site,sppsite,PROVINCE,ECOREGION,bs,pr_failure,nyear,pre_breeding_temp,pre_breeding_chl,pre_breeding_strat,breeding_temp,breeding_chl,breeding_strat,stbs,stpb_temp,stb_temp,stpb_strat,stb_strat,stpb_chl,stb_chl,d.stbs,d.stpb_temp,d.stpb_chl,d.stpb_strat,d.stb_temp,d.stb_chl,d.stb_strat
2006,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.7593985,0,16,26.81163,0.9701703,738.5221,24.31793,0.9570367,547.8587, 1.3579939,-0.626336615, 0.06042271,-0.03242526, 0.02791232, 0.1790834,-1.3094591, 0.280004628,-0.01019855,-0.7883367, 0.25142530, 0.16457390,-0.63534532, 0.03662349
2007,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.6240602,0,16,26.96613,1.0043557,722.6080,24.19651,1.1531308,538.8134, 0.4632061,-0.289150028,-0.17935391,-0.29911577,-0.11171764, 0.9365640, 0.4982310,-0.393838557, 0.33419610, 0.1151372, 0.17635825, 0.03714886, 0.78771569, 0.11892077
2008,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.6535433,0,16,26.77177,1.0187618,702.6492,24.26141,1.0216200,536.8559, 0.6581336,-0.713329331,-0.05117832,-0.63358813,-0.14193581, 1.2557755,-0.7140988, 0.001647956,-0.10827478, 0.5810522,-0.02531383, 0.25469669,-0.74122889, 0.26262403
2009,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.5000000,0,16,27.10066,0.9852450,700.6606,23.80305,1.2671117,479.6099,-0.3570160, 0.004463465,-0.95632449,-0.66691300,-1.02562955, 0.5131079, 1.5489626,-0.833328358, 0.56572681,-0.0142018, 0.01533837,-0.58405658, 1.27323204,-0.49515409
2010,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.6310680,0,16,26.62752,0.9952145,667.1281,23.87042,1.2068228,479.8448, 0.5095382,-1.028139782,-0.82328611,-1.22885408,-1.02200357, 0.7340133, 0.9931901, 0.193013578,-0.53616727, 0.3548273,-0.53144883,-0.40760466, 0.53687332,-0.41361830
2011,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.7380952,0,16,26.70189,1.0096779,708.2518,24.27507,1.0152301,548.7838, 1.2171477,-0.865833617,-0.02420318,-0.53969818, 0.04219215, 1.0544935,-0.7730042, 1.040025201,-0.46865158, 0.8241414, 0.11403775, 0.41191247,-1.34189284, 0.68048143
2012,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.6608696,0,16,26.35579,0.9568139,642.3027,24.15816,1.1190614,515.5524, 0.7065711,-1.621179637,-0.25508056,-1.64488211,-0.47079322,-0.1168684, 0.1841628, 0.648465101,-1.34428771,-0.1976765,-1.09363870, 0.17848994,-0.42928331, 0.14939424
2013,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.4494382,0,16,27.03097,0.9896241,683.2357,24.01812,1.1520433,460.5582,-0.6913047,-0.147628693,-0.53162069,-0.95892216,-1.31972772, 0.6101404, 0.4882062,-0.650779886,-0.01652650, 0.6795864,-0.56899445,-0.12357469,-0.10178313,-0.76564788
2014,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.5789474,0,16,27.73703,0.9012744,780.5625,23.97142,1.2702128,506.8096, 0.1649435, 1.393299667,-0.62383346, 0.67209157,-0.60575442,-1.3475155, 1.5775499, 0.283713589, 1.35311249,-1.1271052, 0.84188038,-0.26429130, 1.07903168,-0.16578800
2015,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.5365854,0,16,27.75413,0.8734664,821.6060,24.07246,1.1339894,530.4115,-0.1151324, 1.430612405,-0.42431572, 1.35990472,-0.24141663,-1.9636862, 0.3217761, 0.061497333, 1.19363622,-1.5916016, 1.25073143,-0.13625674,-0.01725671, 0.03643054
2016,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.5330000,0,16,27.23117,0.9436288,788.6164,24.35660,1.1362619,591.9594,-0.1388370, 0.289280476, 0.13678882, 0.80706024, 0.70868493,-0.4090249, 0.3427260, 0.075266703,-0.16998434, 0.1154443, 0.36010165, 0.33038526, 0.23119296, 0.77640705
2017,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.2475248,0,16,27.40205,0.9836087,784.1204,24.60349,0.9106328,586.0143,-2.0262530, 0.662219246, 0.62433259, 0.73171669, 0.61691202, 0.4768500,-1.7372335,-1.795061017,-0.04483384, 1.1544138,-0.11185038, 0.70048715,-1.55325249, 0.42650328
2018,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.5813953,0,16,26.99769,0.9012624,794.7879,24.21514,1.1301462,545.0075, 0.1811283,-0.220272332,-0.14256399, 0.91048265,-0.01610157,-1.3477821, 0.2863482, 0.409023017,-1.20061332,-0.5164135,-0.38851611,-0.20683066, 0.83385759,-0.51264698
2019,black-footed albatross,Midway,black-footed albatross_Midway,Hawaii,Hawaii,0.6260163,0,16,27.89222,0.9361315,831.3469,24.22281,1.0013549,592.4435, 0.4761389, 1.731994776,-0.12741239, 1.52314282, 0.71615832,-0.5751508,-0.9009127, 0.680350711, 0.45286625, 0.4107327,-0.29011082,-0.35507964, 0.07813942,-0.13452958
